useID,ChipName,Capacity,EraseTime,PageSize,MemoryType,ChipType,ManufName,BlockSize,OTPSize,OTPAddr,NOTE,Voltage,ChipID,ChipPara,ChipPara1,Para1Note,ParaNote,Adder
872,"BY25Q16BS",2097152,40000,256,"SPI FLASH","SPI FLASH","BOYA",4096,0,0,"2MB","3300","684015",0,0,,,"YaoJie"
873,"BY25Q32AL",4194304,50000,256,"SPI FLASH","SPI FLASH","BOYA",4096,0,0,"4MB","1800","686016",0,0,,,"YaoJie"
874,"BY25Q32A",4194304,50000,256,"SPI FLASH","SPI FLASH","BOYA",4096,0,0,"4MB","3300","686016",0,0,,,"YaoJie"
875,"BY25Q32BS",4194304,50000,256,"SPI FLASH","SPI FLASH","BOYA",4096,0,0,"4MB","3300","684016",0,0,,,"YaoJie"
876,"BY25Q32CS",4194304,50000,256,"SPI FLASH","SPI FLASH","BOYA",4096,0,0,"4MB","3300","684016",0,0,,,"YaoJie"
877,"BY25Q64AS",8388608,60000,256,"SPI FLASH","SPI FLASH","BOYA",4096,0,0,"8MB","3300","684017",0,0,,,"YaoJie"
878,"BY25Q128AS",16777216,100000,256,"SPI FLASH","SPI FLASH","BOYA",4096,0,0,"16MB","3300","684018",0,0,,,"YaoJie"
895,"CAT24C01",128,100000,8,"EEPROM","24 EEPROM","CATALYST",16,0,0,"128B","5000","000000",0,0,,,"YaoJie"
896,"CAT24C02",256,100000,8,"EEPROM","24 EEPROM","CATALYST",16,0,0,"256B","5000","000000",0,0,,,"YaoJie"
897,"CAT24C04",512,100000,16,"EEPROM","24 EEPROM","CATALYST",16,0,0,"512B","5000","000000",0,0,,,"YaoJie"
898,"CAT24C08",1024,100000,16,"EEPROM","24 EEPROM","CATALYST",16,0,0,"1KB","5000","000000",0,0,,,"YaoJie"
899,"CAT24C16",2048,100000,16,"EEPROM","24 EEPROM","CATALYST",16,0,0,"2KB","5000","000000",0,0,,,"YaoJie"
900,"CAT24C32",4096,100000,32,"EEPROM","24 EEPROM","CATALYST",16,0,0,"4KB","5000","000000",1,0,,,"YaoJie"
901,"CAT24C64",8192,100000,32,"EEPROM","24 EEPROM","CATALYST",16,0,0,"8KB","5000","000000",1,0,,,"YaoJie"
902,"CAT24128",16384,100000,64,"EEPROM","24 EEPROM","CATALYST",16,0,0,"16KB","5000","000000",1,0,,,"YaoJie"
903,"CAT24C256",32768,100000,64,"EEPROM","24 EEPROM","CATALYST",16,0,0,"32KB","5000","000000",1,0,,,"YaoJie"
904,"CAT24C512",65536,100000,128,"EEPROM","24 EEPROM","CATALYST",16,0,0,"64KB","5000","000000",1,0,,,"YaoJie"
905,"CAT24C1024",131072,100000,128,"EEPROM","24 EEPROM","CATALYST",16,0,0,"128KB","5000","000000",1,0,,,"YaoJie"
906,"24C01",128,100000,8,"EEPROM","24 EEPROM","CORIGHT",16,0,0,"128B","5000","000000",0,0,,,"YaoJie"
