type,manufacturer,name,chip_id,size,flash_page,chip_class,algo,delay,eeprom_extend,eeprom,unk2,eeprom_page,voltage
25_EEPROM,COMMON,25020,0,256,4,3,0,2000,0,0,0,4,2
25_EEPROM,COMMON,25040,0,512,8,3,0,2000,0,0,0,4,2
25_EEPROM,COMMON,25080,0,512,8,3,0,2000,0,0,0,4,2
25_EEPROM,COMMON,25160,0,1024,16,3,1,2000,0,0,0,4,2
25_EEPROM,COMMON,25320,0,2048,32,3,1,2000,0,0,0,4,2
25_EEPROM,COMMON,25640,0,4096,64,3,1,2000,0,0,0,4,2
25_EEPROM,COMMON,25128,0,8192,128,3,1,2000,0,0,0,4,2
25_EEPROM,COMMON,25256,0,16384,256,3,1,2000,0,0,0,4,2
25_EEPROM,COMMON,25512,0,32768,256,3,1,2000,0,0,0,4,2
25_EEPROM,RAMTRON,FM25040,0,512,32,3,0,2000,0,0,0,4,2
25_EEPROM,RAMTRON,FM25CL40,0,512,32,3,0,2000,0,0,0,4,2
25_EEPROM,RAMTRON,FM25L16,0,2048,32,3,1,2000,0,0,0,4,2
25_EEPROM,RAMTRON,FM25C160,0,2048,32,3,1,2000,0,0,0,4,2
25_EEPROM,RAMTRON,FM25640,0,8192,32,3,1,2000,0,0,0,4,2
25_EEPROM,RAMTRON,FM25CL64,0,8192,32,3,1,2000,0,0,0,4,2
25_EEPROM,RAMTRON,FM25L256,0,32768,128,3,1,2000,0,0,0,4,2
25_EEPROM,RAMTRON,FM25L128,0,16384,128,3,1,2000,0,0,0,4,2
25_EEPROM,ST,ST25C01,0,128,8,3,0,2000,0,0,0,4,2
25_EEPROM,ST,ST25W01,0,128,8,3,0,2000,0,0,0,4,2
25_EEPROM,ST,ST25C02,0,256,8,3,0,2000,0,0,0,4,2
25_EEPROM,ST,ST25W02,0,256,8,3,0,2000,0,0,0,4,2
25_EEPROM,ST,ST25C04,0,512,8,3,0,2000,0,0,0,4,2
25_EEPROM,ST,ST25W04,0,512,8,3,0,2000,0,0,0,4,2
25_EEPROM,ST,ST25C08,0,1024,16,3,1,2000,0,0,0,4,2
25_EEPROM,ST,ST25W08,0,1024,16,3,1,2000,0,0,0,4,2
25_EEPROM,ST,ST25C16,0,2048,16,3,1,2000,0,0,0,4,2
25_EEPROM,ST,ST25W16,0,2048,16,3,1,2000,0,0,0,4,2
25_EEPROM,TI,TI2516,0,2048,16,3,1,2000,0,0,0,4,2
25_EEPROM,TI,TI2532,0,4096,16,3,1,2000,0,0,0,4,2
25_EEPROM,TI,TI25080,0,1024,8,3,1,2000,0,0,0,4,2
25_EEPROM,TI,TI2532A,0,4096,16,3,1,2000,0,0,0,4,2
25_EEPROM,TI,TI2564,0,8192,64,3,1,2000,0,0,0,4,2
25_EEPROM,XICOR,X25010,0,128,4,3,0,2000,0,0,0,4,2
25_EEPROM,XICOR,X25020,0,256,4,3,0,2000,0,0,0,4,2
25_EEPROM,XICOR,X25040,0,512,4,3,0,2000,0,0,0,4,2
